state,ea,weight,hh,hhsize,index,own_pre,owntotal_pre,yearp,vintage,price_pre,curr_pre,conv2ssp,own_post,owntotal_post,price_post,curr_post,drate,drate_median,cons_d,cons_d_weekly,cons_d_daily,cons_d_daily_pc
"Northern Bahr El Ghazal",4,304.6609,3,5,"Mattress or bed","Yes",3,2012,4,600,"SSP",4.45,"Yes",3,100,"SSP",.36423572,.0959599,80.28243,1.538609,.2198013,.0439603
"Northern Bahr El Ghazal",4,304.6609,3,5,"Bicycle","Yes",1,2013,3,300,"SSP",4.27,"Yes",1,150,"SSP",.21024823,.0406045,14.09242,.2700807,.038583,.0077166
"Northern Bahr El Ghazal",4,304.6609,4,8,"Hoe, spade or axe","Yes",4,2013,3,15,"SSP",4.27,"Yes",4,20,"SSP",.12295382,.1229538,15.6866,.300633,.0429476,.0053684
"Northern Bahr El Ghazal",4,304.6609,4,8,"Motorcycle/motor","Yes",1,2013,3,2500,"SSP",4.27,"Yes",1,500,"SSP",.41810592,.1220638,97.43842,1.867403,.2667719,.0333465
"Northern Bahr El Ghazal",4,304.6609,4,8,"Radio or transistor",,0,2014,2,100,,,"Yes",1,50,,.29641116,.1715889,13.29409,.2547807,.0363972,.0045497
"Northern Bahr El Ghazal",4,304.6609,4,8,"Mattress or bed","Yes",4,2014,2,250,"SSP",4.66,"Yes",4,200,,.1100227,.0959599,128.4519,2.461775,.3516821,.0439603
"Northern Bahr El Ghazal",4,304.6609,4,8,"Mosquito net","Yes",4,2012,4,10,"SSP",4.45,"Yes",4,12,"SSP",.11002269,.1100227,11.80085,.2261629,.032309,.0040386
"Northern Bahr El Ghazal",4,304.6609,5,5,"Mosquito net","Yes",5,2012,4,20,,,"Yes",2,18,,.03084204,.1100227,6.43683,.1233616,.0176231,.0035246
"Northern Bahr El Ghazal",4,304.6609,5,5,"Hoe, spade or axe","Yes",4,2012,4,75,"SSP",4.45,"Yes",4,25,,.24394459,.1229538,19.60825,.3757912,.0536845,.0107369
"Northern Bahr El Ghazal",4,304.6609,5,5,"Bicycle","Yes",1,2000,16,175,,,"Yes",1,750,,.04060447,.0406045,70.46212,1.350403,.1929148,.038583
"Northern Bahr El Ghazal",4,304.6609,5,5,"Mattress or bed","Yes",2,2011,5,190,,,"Yes",2,500,"SSP",.0959599,.0959599,104.3672,2.000192,.2857417,.0571483
"Northern Bahr El Ghazal",4,304.6609,6,5,"Mosquito net",,,2012,4,25,,,"Yes",3,18,,.08342699,.1100227,9.655245,.1850423,.0264346,.0052869
"Northern Bahr El Ghazal",4,304.6609,6,5,"Hoe, spade or axe","Yes",4,2013,3,45,"SSP",4.27,"Yes",4,20,,.2406539,.1229538,15.6866,.300633,.0429476,.0085895
"Northern Bahr El Ghazal",4,304.6609,6,5,"Mattress or bed","Yes",3,2008,8,450,"SSP",2.11,"Yes",3,200,,.10089353,.0959599,96.33892,1.846331,.2637616,.0527523
"Northern Bahr El Ghazal",4,304.6609,7,8,"Mosquito net","Yes",4,2013,3,10,"SSP",4.27,"Yes",4,10,"SSP",.00497512,.1100227,17.88008,.342671,.048953,.0061191
"Northern Bahr El Ghazal",4,304.6609,7,8,"Mattress or bed","Yes",4,2007,9,75,"SDD",2.1,"Yes",4,200,"SSP",.0959599,.0959599,80.28243,1.538609,.2198013,.0274752
"Northern Bahr El Ghazal",4,304.6609,7,8,"Hoe, spade or axe","Yes",5,2012,4,10,"SSP",4.45,"Yes",5,10,"SSP",.00497512,.1229538,21.56907,.4133703,.0590529,.0073816
"Northern Bahr El Ghazal",4,304.6609,8,9,"Hoe, spade or axe","Yes",1,2015,1,30,"SSP",9.91,"Yes",2,25,"SSP",.1708126,.1229538,10.78454,.2066852,.0295265,.0032807
"Northern Bahr El Ghazal",4,304.6609,8,9,"Bicycle",,0,2014,2,300,"SSP",4.66,"Yes",1,400,"SSP",.04060447,.0406045,37.5798,.7202151,.1028879,.011432
"Northern Bahr El Ghazal",4,304.6609,8,9,"Mattress or bed","Yes",3,2014,2,45,"SSP",4.66,"Yes",4,200,"SSP",.0959599,.0959599,128.4519,2.461775,.3516821,.0390758
"Northern Bahr El Ghazal",4,304.6609,8,9,"Mosquito net","Yes",4,2013,3,20,"SSP",4.27,"Yes",4,30,,.11002269,.1100227,21.4561,.4112052,.0587436,.0065271
"Northern Bahr El Ghazal",4,304.6609,9,7,"Mosquito net","Yes",4,2012,4,10,"SSP",4.45,"Yes",4,15,"SSP",.11002269,.1100227,12.33726,.236443,.0337776,.0048254
